,Country,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,happy_level
128,Singapore,6.49351250221286,1.6655334744883274,0.9945933347405204,0.5922972219370194,0.5004300026292725,0.2592308609354323,Very Happy
129,Slovakia,6.193075015073883,1.308108905818565,0.7594860212637405,0.3632224991987591,0.0212852865799386,0.1280717818649797,Happy
130,Slovenia,6.111799984875397,1.3351635563189626,0.8360320342496033,0.6164332439464264,0.0629831627236065,0.1803763239087877,Happy
131,Somalia,5.059166670481363,0.077782197381556,0.230243189518849,0.5433378259976706,0.3189050539366405,0.3438085518630345,Ok
132,South Africa,4.792512473148163,1.0241861430841526,0.3102630174220495,0.4331160694466018,0.0641252046755123,0.1235074034885702,Ok
133,South Korea,5.884924953463654,1.3840086367443776,0.925948334005272,0.2838797519883632,0.0914511188238182,0.1682235291486758,Happy
134,South Sudan,3.269320032821728,0.344654319951062,0.2004210073751464,0.1062583379492386,0.111020062459607,0.2361190847796692,Ok
135,Spain,6.390612470616211,1.3634466416677176,0.9294854603624116,0.4309656308062096,0.0914804845162873,0.1556698814530945,Very Happy
136,Sri Lanka,4.372125024777557,0.9985321365482862,0.6876621930244102,0.5347844646160737,0.0649410662735538,0.3201987134537811,Ok
137,Sudan,4.24174998474121,0.60406917304039,0.3173227059531213,0.0329514638198167,0.1047093799984455,0.1719268626606465,Ok
138,Suriname,6.269,1.0461,0.558765,0.559455,0.131625,0.1682799999999999,Happy
139,Swaziland,4.4182200448,0.8947199484,0.1124491656,0.3003031576,0.1226731746,0.0857709666,Ok
140,Sweden,7.33706247611142,1.46751781200251,0.8809282024137421,0.6434002249960633,0.4236968874511356,0.3021733931470356,Very Happy
141,Switzerland,7.524987470629791,1.5429492254028323,0.9150155593102646,0.6327706308334733,0.3975953982945652,0.2509018790324096,Very Happy
142,Syria,3.292199978637696,0.6991086268692015,0.5662806684722901,0.0816998889250755,0.1595474261074066,0.4312847456474304,Ok
143,Taiwan,6.442174990166931,1.4449208841943288,0.8140465287916298,0.4166301219487266,0.1031169484665694,0.1909586475377178,Very Happy
144,Tajikistan,5.235962464296723,0.5399260314305802,0.5808512408235016,0.4624934847369785,0.1728708824055061,0.2010168460737466,Happy
145,Tanzania,3.5164000101389776,0.4921311251473426,0.3939171424370383,0.4463426082101689,0.1404219959722681,0.2981609089653683,Ok
146,Thailand,6.163474948422119,1.11238725831913,0.7070931094259376,0.5829775669692879,0.0293313246552064,0.4413865155367927,Happy
147,Togo,3.765899994319885,0.3278088729259034,0.2935470933309231,0.3379093970799312,0.1073339339100308,0.1822063003385248,Ok
148,Trinidad and Tobago,6.179983332875406,1.2534245702940785,0.5994536414376629,0.5298219788377888,0.0138088686847243,0.253074119430364,Happy
149,Tunisia,4.643274977667327,0.978797311649765,0.684883596000927,0.263968905696661,0.058362840227848,0.0492805625249288,Ok
150,Turkey,5.237600021875,1.2311679531260225,0.6979801126887016,0.2482726699540328,0.1169493528621754,0.0843973263650827,Happy
151,Turkmenistan,5.44626251508786,1.0970475434952929,0.5197617646772041,0.4807110756282062,0.1269855287755298,0.2614392891943187,Happy
152,Uganda,4.221500001403351,0.3808722679153118,0.3086005338281946,0.4180835639107532,0.0623723201047172,0.2690316787220059,Ok
153,Ukraine,4.506962516818695,0.9187533196757088,0.6228447916402169,0.2566523100914455,0.0160725788520318,0.1934990973896998,Ok
154,United Arab Emirates,6.7060999823110965,1.6512774738104938,0.7219740842962609,0.5898751713946075,0.2832041352129421,0.2574734908133125,Very Happy
155,United Kingdom,6.965187557758393,1.40636187209288,0.8614220023663138,0.5276210866025008,0.2722112140317078,0.3907359499645252,Very Happy
156,United States,6.982700002689698,1.5210895155024338,0.7735868298461838,0.5246273460422898,0.1484379411678095,0.3181927299563866,Very Happy
157,Uruguay,6.437637523648163,1.19097376903048,0.7615719635722351,0.5948949155440713,0.2030008683400897,0.1510250775091667,Very Happy
158,Uzbekistan,6.091325003193695,0.7879305045903473,0.6004157925740109,0.675651123618576,0.2660473110196161,0.3343655837635098,Happy
159,Venezuela,5.315899971,0.8605724798726425,0.6672162196284867,0.2384080430301781,0.0718557374951305,0.0845135979869608,Happy
160,Vietnam,5.252812471343048,0.8005212446842231,0.7074541232726899,0.6153588956383019,0.0931814620303373,0.1727258465392942,Happy
161,Yemen,3.6889249940187687,0.482408152795124,0.3622751357111835,0.2578244008887244,0.076197443713236,0.0951667776440873,Ok
162,Zambia,4.314299978745605,0.6067050677861557,0.3017999043528842,0.4767263790622997,0.0912985985187993,0.2215963808602752,Ok
163,Zimbabwe,3.68402500725,0.4437275694959277,0.2825064206113739,0.3352111158762836,0.0888642450512652,0.1576740850964441,Ok
